Id,SalePrice
1461,121566.92294333443
1462,166441.57643933108
1463,183088.28093096375
1464,203354.456589022
1465,194090.93088864264
1466,171910.50630968198
1467,178689.76870177354
1468,163274.04123173468
1469,196313.1569379968
1470,120276.22105765187
1471,166542.0358404009
1472,99275.37599356241
1473,95387.42322016283
1474,146049.33261165983
1475,115769.92361522478
1476,363592.54349425563
1477,253291.28445645506
1478,301448.3309542831
1479,296830.45155826246
1480,546608.560511911
1481,332065.2624521636
1482,205127.20217934292
1483,174196.20973059398
1484,163655.68698549783
1485,180515.33518709755
1486,187288.8272546093
1487,345795.7693636393
1488,220075.65695920587
1489,192804.58694212578
1490,243278.93358784923
1491,192892.38100404807
1492,94805.98155356293
1493,173824.9945528797
1494,288840.67346087244
1495,285612.0480261002
1496,229422.28170909564
1497,183279.87545699996
1498,196377.40998321475
1499,168323.50575753042
1500,160255.51954832717
1501,178797.12108078288
1502,152129.2684568404
1503,389325.39525257313
1504,242734.5993432233
1505,229600.79963392174
1506,191207.38942894575
1507,259385.5928630896
1508,198878.75272882867
1509,154583.3887298702
1510,145771.3300156152
1511,173468.87689709276
1512,172540.34502403
1513,141885.69239329477
1514,163336.35766342725
1515,187841.97186815945
1516,148293.38634679868
1517,170388.11452566754
1518,130846.94413825867
1519,210206.7418158524
1520,128056.95368906636
1521,133735.61256710056
1522,170659.46265423676
1523,117070.32392327637
1524,121477.74044854201
1525,119429.43425114827
1526,111069.57114270987
1527,111377.902375595
1528,132626.84223885136
1529,161287.51057722978
1530,207687.9995496276
1531,116675.36525385422
1532,93252.36252761504
1533,151796.19517184232
1534,125704.12002016533
1535,140495.44954306012
1536,106078.10244618275
1537,59724.45977037151
1538,142780.81170529153
1539,182856.5044849876
1540,78027.93934135918
1541,135999.13579815268
1542,155677.34939486842
1543,180336.69085044
1544,84032.41066308222
1545,116719.2657063664
1546,137283.41677146222
1547,133630.42222630235
1548,137917.05830414745
1549,123544.33282673503
1550,132810.43482168438
1551,103838.82594976152
1552,141369.23563838413
1553,135162.7894754637
1554,120654.77020943449
1555,160479.50062499745
1556,83129.16733200585
1557,115126.21132711353
1558,108167.47720796028
1559,58017.52313381266
1560,128768.00102989566
1561,120064.34551880552
1562,135260.86618040892
1563,123208.11281130103
1564,162909.7289601645
1565,149268.01895851313
1566,232030.25445882406
1567,81590.33271572647
1568,244451.59322038855
1569,136542.02605754515
1570,130533.6800133505
1571,110025.90454773082
1572,142092.72315281883
1573,238390.12233921213
1574,117210.77618421862
1575,226060.38121249626
1576,231834.82719605032
1577,178674.98156505884
1578,142218.43808371443
1579,142754.97140079577
